201,270805,939,-87425,86479,939,-87425,86479,0,0,0,0
202,272159,37331,-98738,61200,37331,-98738,61200,0,0,0,0
203,273513,68313,-96499,27811,68313,-96499,27811,0,0,0,0
204,274867,89871,-81056,-9307,89871,-81056,-9307,0,0,0,0
205,276221,99184,-54415,-45311,99184,-54415,-45311,0,0,0,0
206,277575,94676,-19934,-75260,94676,-19934,-75260,0,0,0,0
207,278929,75798,17532,-93745,75798,17532,-93745,0,0,0,0
208,280283,46762,52275,-99294,46762,52275,-99294,0,0,0,0
209,281637,11393,79782,-91239,11393,79782,-91239,0,0,0,0
210,282991,-25696,96453,-70619,-25696,96453,-70619,0,0,0,0
211,284345,-59481,99740,-39936,-59481,99740,-39936,0,0,0,0
212,285699,-84198,87882,-3227,-84198,87882,-3227,0,0,0,0
213,287053,-97224,64158,33593,-97224,64158,33593,0,0,0,0
214,288407,-96909,31704,65730,-96909,31704,65730,0,0,0,0
215,289761,-83284,-5246,88984,-83284,-5246,88984,0,0,0,0
216,291115,-57872,-41759,99945,-57872,-41759,99945,0,0,0,0
217,292469,-23709,-71892,95729,-23709,-71892,95729,0,0,0,0
218,293823,13380,-91964,78508,13380,-91964,78508,0,0,0,0
219,295177,48554,-99401,50578,48554,-99401,50578,0,0,0,0
220,296531,77220,-93221,15578,77220,-93221,15578,0,0,0,0
221,297885,95280,-73914,-21886,95280,-73914,-21886,0,0,0,0
222,299240,98869,-43423,-55986,98869,-43423,-55986,0,0,0,0
223,300594,88958,-7287,-82158,88958,-7287,-82158,0,0,0,0
224,301948,66890,29765,-97023,66890,29765,-97023,0,0,0,0
225,303302,35539,62896,-98631,35539,62896,-98631,0,0,0,0
226,304656,-1048,87462,-86410,-1048,87462,-86410,0,0,0,0
227,306010,-37429,98738,-61107,-37429,98738,-61107,0,0,0,0
228,307364,-68388,96462,-27702,-68388,96463,-27702,0,0,0,0
229,308718,-89917,80985,9419,-89917,80985,9419,0,0,0,0
230,310072,-99194,54316,45416,-99194,54316,45416,0,0,0,0
231,311426,-94614,19810,75318,-94614,19810,75318,0,0,0,0
232,312780,-75706,-17653,93770,-75706,-17653,93770,0,0,0,0
233,314134,-46649,-52381,99282,-46649,-52381,99282,0,0,0,0
234,315488,-11268,-79863,91190,-11268,-79863,91190,0,0,0,0
235,316842,25821,-96503,70539,25821,-96503,70539,0,0,0,0
236,318196,59573,-99715,39815,59573,-99715,39815,0,0,0,0
237,319550,84260,-87824,3103,84260,-87824,3103,0,0,0,0
238,320904,97250,-64072,-33709,97250,-64072,-33709,0,0,0,0
239,322258,96899,-31600,-65829,96899,-31600,-65829,0,0,0,0
240,323612,83239,5360,-89055,83239,5360,-89055,0,0,0,0
241,324966,57775,41853,-99945,57775,41853,-99945,0,0,0,0
242,326320,23600,71961,-95692,23600,71961,-95692,0,0,0,0
243,327674,-13489,92001,-78440,-13489,92001,-78440,0,0,0,0
244,329028,-48652,99401,-50485,-48652,99401,-50485,0,0,0,0
245,330382,-77296,93184,-15469,-77296,93184,-15469,0,0,0,0
246,331736,-95291,73816,21991,-95291,73816,21991,0,0,0,0
247,333090,-98843,43306,56073,-98843,43306,56073,0,0,0,0
248,334444,-88896,7162,82216,-88896,7162,82216,0,0,0,0
249,335798,-66799,-29886,97047,-66799,-29886,97047,0,0,0,0
250,337152,-35425,-63003,98619,-35425,-63003,98619,0,0,0,0
251,338506,1173,-87510,86330,1173,-87510,86330,0,0,0,0
252,339860,37542,-98750,61001,37542,-98750,61001,0,0,0,0
253,341214,68480,-96437,27582,68480,-96437,27582,0,0,0,0
254,342568,89978,-80926,-9544,89978,-80926,-9544,0,0,0,0
255,343922,99221,-54230,-45534,99221,-54230,-45534,0,0,0,0
256,345276,94568,-19697,-75389,94568,-19697,-75389,0,0,0,0
257,346630,75630,17761,-93806,75630,17761,-93806,0,0,0,0
258,347984,46551,52475,-99282,46551,52475,-99282,0,0,0,0
259,349338,11159,79931,-91153,11159,79931,-91153,0,0,0,0
260,350692,-25930,96539,-70469,-25930,96539,-70469,0,0,0,0
261,352046,-59649,99678,-39705,-59649,99678,-39705,0,0,0,0
